,sentence
0,Finkenauer and Rimé investigated the memory of the unexpected death of Belgium’s King Baudouin in 1993 in a large sample of Belgian citizens
1,The data revealed that the news of the king’s death had been widely socially shared
2,"By talking about the event, people gradually constructed a social narrative and a collective memory of the emotional event"
3,"At the same time, they consolidated their own memory of the personal circumstances in which the event took place, an effect known as “flashbulb memory.” The more an event is socially shared, the more it will be fixed in people’s minds"
4,Social sharing may in this way help to counteract some natural tendency people may have
5,"Naturally, people should be driven to “forget” undesirable events"
6,"Thus, someone who just heard a piece of bad news often tends initially to deny what happened. 0번 문단"
7,"Minorities tend not to have much power or status and may even be dismissed as troublemakers, extremists or simply ‘weirdos’"
8,"How, then, do they ever have any influence over the majority? The crucial factor in the success of the suffragette movement was that its supporters were consistent in their views, and this created a considerable degree of social influence"
9,"Minorities that are active and organised, who support and defend their position consistently, can create social conflict, doubt and uncertainty among members of the majority, and ultimately this may lead to social change"
10,Such change has often occurred because a minority has converted others to its point of view
11,"Without the influence of minorities, we would have no innovation, no social change"
12,Many of what we now regard as ‘major’ social movements (e.g
13,"Christianity, trade unionism or feminism) were originally due to the influence of an outspoken minority. 1번 문단"
14,"Heritage is concerned with the ways in which very selective material artefacts, mythologies, memories and traditions become resources for the present"
15,"The contents, interpretations and representations of the resource are selected according to the demands of the present; an imagined past provides resources for a heritage that is to be passed onto an imagined future"
16,It follows too that the meanings and functions of memory and tradition are defined in the present
17,"Further, heritage is more concerned with meanings than material artefacts"
18,"It is the former that give value, either cultural or financial, to the latter and explain why they have been selected from the near infinity of the past"
19,"In turn, they may later be discarded as the demands of present societies change, or even, as is presently occurring in the former Eastern Europe, when pasts have to be reinvented to reflect new presents. 2번 문단"
20,The human species is unique in its ability to expand its functionality by inventing new cultural tools
21,"Writing, arithmetic, science ― all are recent inventions"
22,"When we learn to read, we recycle a specific region of our visual system known as the visual word-form area, enabling us to recognize strings of letters and connect them to language areas"
23,"Likewise, when we learn Arabic numerals we build a circuit to quickly convert those shapes into quantities ― a fast connection from bilateral visual areas to the parietal quantity area"
24,Even an invention as elementary as finger-counting changes our cognitive abilities dramatically
25,"Amazonian people who have not invented counting are unable to make exact calculations as simple as, say, 6—2"
26,This “cultural recycling” implies that the functional architecture of the human brain results from a complex mixture of biological and cultural constraints. 3번 문단
27,"Biological organisms, including human societies both with and without market systems, discount distant outputs over those available at the present time based on risks associated with an uncertain future"
28,"As the timing of inputs and outputs varies greatly depending on the type of energy, there is a strong case to incorporate time when assessing energy alternatives"
29,"For example, the energy output from solar panels or wind power engines, where most investment happens before they begin producing, may need to be assessed differently when compared to most fossil fuel extraction technologies, where a large proportion of the energy output comes much sooner, and a larger (relative) proportion of inputs is applied during the extraction process, and not upfront"
30,"Thus fossil fuels, particularly oil and natural gas, in addition to having energy quality advantages (cost, storability, transportability, etc.) over many renewable technologies, also have a “temporal advantage” after accounting for human behavioral preference for current consumption/return. 4번 문단"
31,"Apocalypse Now, a film produced and directed by Francis Ford Coppola, gained widespread popularity, and for good reason"
32,"The film is an adaptation of Joseph Conrad’s novel Heart of Darkness, which is set in the African Congo at the end of the 19th century"
33,"Unlike the original novel, Apocalypse Now is set in Vietnam and Cambodia during the Vietnam War"
34,"The setting, time period, dialogue and other incidental details are changed but the fundamental narrative and themes of Apocalypse Now are the same as those of Heart of Darkness"
35,"Both describe a physical journey, reflecting the central character’s mental and spiritual journey, down a river to confront the deranged Kurtz character, who represents the worst aspects of civilisation. 5번 문단"
36,How many of the lunches that you ate over the last week can you recall? Do you remember what you ate today? I hope so
37,Yesterday? I bet it takes a moment’s effort
38,"And what about the day before yesterday? What about a week ago? It’s not so much that your memory of last week’s lunch has disappeared; if provided with the right cue, like where you ate it, or whom you ate it with, you would likely recall what had been on your plate"
39,"Rather, it’s difficult to remember last week’s lunch because your brain has filed it away with all the other lunches you’ve ever eaten as just another lunch"
40,"When we try to recall something from a category that includes as many instances as “lunch” or “wine,” many memories compete for our attention"
41,The memory of last Wednesday’s lunch isn’t necessarily gone; But a wine that talks: That’s unique
42,It’s a memory without rivals. 6번 문단
43,"In the less developed world, the percentage of the population involved in agriculture is declining, but at the same time, those remaining in agriculture are not benefiting from technological advances"
44,The typical scenario in the less developed world is one in which a very few commercial agriculturalists are technologically advanced while the vast majority are incapable of competing
45,"As an example, in Kenya, farmers are actively encouraged to grow export crops such as tea and coffee at the expense of basic food production"
46,"The result is that a staple crop, such as maize, is not being produced in a sufficient amount"
47,"The essential argument here is that the capitalist mode of production is affecting peasant production in the less developed world in such a way as to limit the production of staple foods, thus causing a food problem. 7번 문단"
48,"Over the past 60 years, as mechanical processes have replicated behaviors and talents we thought were unique to humans, we’ve had to change our minds about what sets us apart"
49,"As we invent more species of AI, we will be forced to surrender more of what is supposedly unique about humans"
50,"Each step of surrender ─ we are not the only mind that can play chess, fly a plane, make music, or invent a mathematical law ─ will be painful and sad"
51,"We’ll spend the next three decades ─ indeed, perhaps the next century ─ in a permanent identity crisis, continually asking ourselves what humans are good for"
52,"If we aren’t unique toolmakers, or artists, or moral ethicists, then what, if anything, makes us special? In the grandest irony of all, the greatest benefit of an everyday, utilitarian AI will not be increased productivity or an economics of abundance or a new way of doing science ─ although all those will happen. 8번 문단"
53,"Time spent on on-line interaction with members of one’s own, preselected community leaves less time available for actual encounters with a wide variety of people"
54,"If physicists, for example, were to concentrate on exchanging email and electronic preprints with other physicists around the world working in the same specialized subject area, they would likely devote less time, and be less receptive to new ways of looking at the world"
55,Facilitating the voluntary construction of highly homogeneous social networks of scientific communication therefore allows individuals to filter the potentially overwhelming flow of information
56,"But the result may be the tendency to overfilter it, thus eliminating the diversity of the knowledge circulating and diminishing the frequency of radically new ideas"
57,"In this regard, even a journey through the stacks of a real library can be more fruitful than a trip through today’s distributed virtual archives, because it seems difficult to use the available “search engines” to emulate efficiently the mixture of predictable and surprising discoveries that typically result from a physical shelf-search of an extensive library collection. 9번 문단"
58,"In one sense, every character you create will be yourself"
59,"You’ve never murdered, but your murderer’s rage will be drawn from memories of your own extreme anger"
60,Your love scenes will contain hints of your own past kisses and sweet moments
61,"That scene in which your octogenarian feels humiliated will draw on your experience of humiliation in the eighth grade, even though the circumstances are totally different and you’re not even consciously thinking about your middle-school years"
62,"Our characters’ emotions, after all, draw on our own emotions"
63,"Sometimes, however, you will want to use your life more directly in your fiction, dramatizing actual incidents"
